年,生产厂家,新编码,新名称,新规格型号,客户名称,销售数量,销售含税总价,采购含税总价,采购含税单价,销售含税单价,返利金额,总毛利,大类,地区,毛利率
2019年,乐普(北京)医疗器械股份有限公司,10667771,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×24mm,德宏州人民医院,4,45500,17848,4462,11375,,27652,支架,云南,60.77%
2019年,乐普(北京)医疗器械股份有限公司,10667771,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×24mm,会泽县人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667771,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×24mm,昆明市延安医院,5,57500,22310,4462,11500,,35190,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667771,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×24mm,昆明医科大学第一附属医院,10,115000,44620,4462,11500,,70380,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667771,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×24mm,曲靖市第二人民医院,2,23821,8924,4462,11910.5,,14897,支架,云南,62.54%
2019年,乐普(北京)医疗器械股份有限公司,10667771,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×24mm,曲靖市第一人民医院,1,11100,4462,4462,11100,,6638,支架,云南,59.80%
2019年,乐普(北京)医疗器械股份有限公司,10667772,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×18mm,德宏州人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667772,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×18mm,昆明市延安医院,10,112600,44620,4462,11260,,67980,支架,云南,60.37%
2019年,乐普(北京)医疗器械股份有限公司,10667772,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×18mm,昆明医科大学第一附属医院,5,57500,22310,4462,11500,,35190,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667772,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×18mm,普洱市人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667772,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×18mm,曲靖市第二人民医院,3,35200,13386,4462,11733.33,,21814,支架,云南,61.97%
2019年,乐普(北京)医疗器械股份有限公司,10667772,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×18mm,曲靖市第一人民医院,1,6446.67,4462,4462,6446.67,,1984.67,支架,云南,30.79%
2019年,乐普(北京)医疗器械股份有限公司,10667773,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×15mm,德宏州人民医院,2,22000,8924,4462,11000,,13076,支架,云南,59.44%
2019年,乐普(北京)医疗器械股份有限公司,10667773,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×15mm,凤庆县人民医院,1,11607,4462,4462,11607,,7145,支架,云南,61.56%
2019年,乐普(北京)医疗器械股份有限公司,10667773,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×15mm,昆明市延安医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667773,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×15mm,昆明医科大学第一附属医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667773,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×15mm,普洱市人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667773,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×15mm,曲靖市第二人民医院,2,22600,8924,4462,11300,,13676,支架,云南,60.51%
2019年,乐普(北京)医疗器械股份有限公司,10667774,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×29mm,会泽县人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667774,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×29mm,昆明市延安医院,17,193500,75854,4462,11382.35,,117646,支架,云南,60.80%
2019年,乐普(北京)医疗器械股份有限公司,10667774,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×29mm,昆明医科大学第一附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667774,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×29mm,普洱市人民医院,2,23107.67,8924,4462,11553.84,,14183.67,支架,云南,61.38%
2019年,乐普(北京)医疗器械股份有限公司,10667774,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×29mm,曲靖市第二人民医院,2,22200,8924,4462,11100,,13276,支架,云南,59.80%
2019年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,德宏州人民医院,2,22500,8924,4462,11250,,13576,支架,云南,60.34%
2019年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,会泽县人民医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,昆明市第一人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,昆明市延安医院,14,161000,62468,4462,11500,,98532,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,昆明医科大学第一附属医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,普洱市人民医院,2,23107.67,8924,4462,11553.84,,14183.67,支架,云南,61.38%
2019年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,曲靖市第二人民医院,6,67400,26772,4462,11233.33,,40628,支架,云南,60.28%
2019年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,曲靖市第一人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667776,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×29mm,昆明市延安医院,10,112200,44620,4462,11220,,67580,支架,云南,60.23%
2019年,乐普(北京)医疗器械股份有限公司,10667776,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×29mm,昆明医科大学第一附属医院,10,115000,44620,4462,11500,,70380,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667776,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×29mm,普洱市人民医院,4,46215.34,17848,4462,11553.84,,28367.34,支架,云南,61.38%
2019年,乐普(北京)医疗器械股份有限公司,10667776,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×29mm,曲靖市第二人民医院,2,22200,8924,4462,11100,,13276,支架,云南,59.80%
2019年,乐普(北京)医疗器械股份有限公司,10667776,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×29mm,曲靖市第一人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667777,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×12mm,昆明市延安医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667777,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×12mm,昆明医科大学第一附属医院,7,78550,31234,4462,11221.43,,47316,支架,云南,60.24%
2019年,乐普(北京)医疗器械股份有限公司,10667777,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×12mm,普洱市人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667777,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×12mm,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667777,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×12mm,曲靖市第一人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667778,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×29mm,德宏州人民医院,4,45500,17848,4462,11375,,27652,支架,云南,60.77%
2019年,乐普(北京)医疗器械股份有限公司,10667778,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×29mm,会泽县人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667778,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×29mm,昆明市延安医院,6,68200,26772,4462,11366.67,,41428,支架,云南,60.74%
2019年,乐普(北京)医疗器械股份有限公司,10667778,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×29mm,昆明医科大学第一附属医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667778,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×29mm,普洱市人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667778,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×29mm,曲靖市第二人民医院,2,22200,8924,4462,11100,,13276,支架,云南,59.80%
2019年,乐普(北京)医疗器械股份有限公司,10667779,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×18mm,德宏州人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667779,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×18mm,昆明市延安医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667779,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×18mm,昆明医科大学第二附属医院,1,13592,4462,4462,13592,,9130,支架,云南,67.17%
2019年,乐普(北京)医疗器械股份有限公司,10667779,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×18mm,昆明医科大学第一附属医院,11,126500,49082,4462,11500,,77418,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667779,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×18mm,普洱市人民医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667779,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×18mm,曲靖市第二人民医院,3,33700,13386,4462,11233.33,,20314,支架,云南,60.28%
2019年,乐普(北京)医疗器械股份有限公司,10667780,血管内无载体含药(雷帕霉素)洗脱支架系统,4.0mm×18mm,德宏州人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667780,血管内无载体含药(雷帕霉素)洗脱支架系统,4.0mm×18mm,昆明市延安医院,4,45200,17848,4462,11300,,27352,支架,云南,60.51%
2019年,乐普(北京)医疗器械股份有限公司,10667780,血管内无载体含药(雷帕霉素)洗脱支架系统,4.0mm×18mm,昆明医科大学第一附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667780,血管内无载体含药(雷帕霉素)洗脱支架系统,4.0mm×18mm,普洱市人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667780,血管内无载体含药(雷帕霉素)洗脱支架系统,4.0mm×18mm,曲靖市第二人民医院,1,11100,4462,4462,11100,,6638,支架,云南,59.80%
2019年,乐普(北京)医疗器械股份有限公司,10667781,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×21mm,昆明市延安医院,5,57100,22310,4462,11420,,34790,支架,云南,60.93%
2019年,乐普(北京)医疗器械股份有限公司,10667782,血管内无载体含药(雷帕霉素)洗脱支架系统,4.0mm×29mm,德宏州人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667782,血管内无载体含药(雷帕霉素)洗脱支架系统,4.0mm×29mm,会泽县人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667782,血管内无载体含药(雷帕霉素)洗脱支架系统,4.0mm×29mm,昆明市延安医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667782,血管内无载体含药(雷帕霉素)洗脱支架系统,4.0mm×29mm,普洱市人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667782,血管内无载体含药(雷帕霉素)洗脱支架系统,4.0mm×29mm,曲靖市第一人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667783,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×15mm,昆明市延安医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667783,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×15mm,昆明医科大学第一附属医院,7,80500,31234,4462,11500,,49266,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667783,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×15mm,普洱市人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667783,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×15mm,曲靖市第二人民医院,2,22200,8924,4462,11100,,13276,支架,云南,59.80%
2019年,乐普(北京)医疗器械股份有限公司,10667784,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×18mm,德宏州人民医院,4,45000,17848,4462,11250,,27152,支架,云南,60.34%
2019年,乐普(北京)医疗器械股份有限公司,10667784,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×18mm,会泽县人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667784,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×18mm,昆明市延安医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667784,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×18mm,昆明医科大学第一附属医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667784,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×18mm,普洱市人民医院,2,23107.67,8924,4462,11553.84,,14183.67,支架,云南,61.38%
2019年,乐普(北京)医疗器械股份有限公司,10667784,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×18mm,曲靖市第二人民医院,2,22600,8924,4462,11300,,13676,支架,云南,60.51%
2019年,乐普(北京)医疗器械股份有限公司,10667785,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×36mm,大理市第一人民医院,7,80500,31234,4462,11500,,49266,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667785,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×36mm,德宏州人民医院,3,33500,13386,4462,11166.67,,20114,支架,云南,60.04%
2019年,乐普(北京)医疗器械股份有限公司,10667785,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×36mm,凤庆县人民医院,15,174105,66930,4462,11607,,107175,支架,云南,61.56%
2019年,乐普(北京)医疗器械股份有限公司,10667785,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×36mm,国药控股红河有限公司,7,64872.81,31234,4462,9267.54,,33638.81,支架,云南,51.85%
2019年,乐普(北京)医疗器械股份有限公司,10667785,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×36mm,会泽县人民医院,7,80500,31234,4462,11500,,49266,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667785,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×36mm,昆明市第一人民医院,8,92600,35696,4462,11575,,56904,支架,云南,61.45%
2019年,乐普(北京)医疗器械股份有限公司,10667785,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×36mm,昆明市延安医院,43,490300,191866,4462,11402.33,,298434,支架,云南,60.87%
2019年,乐普(北京)医疗器械股份有限公司,10667785,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×36mm,昆明医科大学第二附属医院,13,164500,58006,4462,12653.85,,106494,支架,云南,64.74%
2019年,乐普(北京)医疗器械股份有限公司,10667785,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×36mm,昆明医科大学第一附属医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667785,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×36mm,普洱市人民医院,10,115430.68,44620,4462,11543.07,,70810.68,支架,云南,61.34%
2019年,乐普(北京)医疗器械股份有限公司,10667785,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×36mm,曲靖市第二人民医院,13,144700,58006,4462,11130.77,,86694,支架,云南,59.91%
2019年,乐普(北京)医疗器械股份有限公司,10667785,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×36mm,曲靖市第一人民医院,30,336700,133860,4462,11223.33,,202840,支架,云南,60.24%
2019年,乐普(北京)医疗器械股份有限公司,10667785,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×36mm,祥云县人民医院,7,80100,31234,4462,11442.86,,48866,支架,云南,61.01%
2019年,乐普(北京)医疗器械股份有限公司,10667785,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×36mm,云南城投健康医药有限公司,5,49395,22310,4462,9879,,27085,支架,云南,54.83%
2019年,乐普(北京)医疗器械股份有限公司,10667786,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×18mm,德宏州人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667786,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×18mm,昆明市延安医院,2,19344,8924,4462,9672,,10420,支架,云南,53.87%
2019年,乐普(北京)医疗器械股份有限公司,10667786,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×18mm,昆明医科大学第一附属医院,9,103500,40158,4462,11500,,63342,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667786,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×18mm,普洱市人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667786,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×18mm,曲靖市第二人民医院,3,33300,13386,4462,11100,,19914,支架,云南,59.80%
2019年,乐普(北京)医疗器械股份有限公司,10667787,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×15mm,昆明市延安医院,2,22600,8924,4462,11300,,13676,支架,云南,60.51%
2019年,乐普(北京)医疗器械股份有限公司,10667787,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×15mm,昆明医科大学第一附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667787,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×15mm,普洱市人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667787,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×15mm,曲靖市第二人民医院,2,22200,8924,4462,11100,,13276,支架,云南,59.80%
2019年,乐普(北京)医疗器械股份有限公司,10667788,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×24mm,德宏州人民医院,3,33500,13386,4462,11166.67,,20114,支架,云南,60.04%
2019年,乐普(北京)医疗器械股份有限公司,10667788,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×24mm,昆明市延安医院,9,97644,40158,4462,10849.33,,57486,支架,云南,58.87%
2019年,乐普(北京)医疗器械股份有限公司,10667788,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×24mm,昆明医科大学第一附属医院,5,57500,22310,4462,11500,,35190,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667788,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×24mm,普洱市人民医院,2,23107.67,8924,4462,11553.84,,14183.67,支架,云南,61.38%
2019年,乐普(北京)医疗器械股份有限公司,10667788,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×24mm,曲靖市第二人民医院,3,33300,13386,4462,11100,,19914,支架,云南,59.80%
2019年,乐普(北京)医疗器械股份有限公司,10667788,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×24mm,曲靖市第一人民医院,2,19900,8924,4462,9950,,10976,支架,云南,55.16%
2019年,乐普(北京)医疗器械股份有限公司,10667789,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×36mm,大理市第一人民医院,7,80500,31234,4462,11500,,49266,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667789,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×36mm,凤庆县人民医院,12,136424,53544,4462,11368.67,,82880,支架,云南,60.75%
2019年,乐普(北京)医疗器械股份有限公司,10667789,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×36mm,国药控股红河有限公司,4,38180,17848,4462,9545,,20332,支架,云南,53.25%
2019年,乐普(北京)医疗器械股份有限公司,10667789,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×36mm,会泽县人民医院,9,103040,40158,4462,11448.89,,62882,支架,云南,61.03%
2019年,乐普(北京)医疗器械股份有限公司,10667789,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×36mm,昆明市第一人民医院,8,91600,35696,4462,11450,,55904,支架,云南,61.03%
2019年,乐普(北京)医疗器械股份有限公司,10667789,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×36mm,昆明市延安医院,58,658350,258796,4462,11350.86,,399554,支架,云南,60.69%
2019年,乐普(北京)医疗器械股份有限公司,10667789,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×36mm,昆明医科大学第二附属医院,10,125000,44620,4462,12500,,80380,支架,云南,64.30%
2019年,乐普(北京)医疗器械股份有限公司,10667789,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×36mm,昆明医科大学第一附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667789,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×36mm,普洱市人民医院,15,173038.35,66930,4462,11535.89,,106108.35,支架,云南,61.32%
2019年,乐普(北京)医疗器械股份有限公司,10667789,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×36mm,曲靖市第二人民医院,5,60100,22310,4462,12020,,37790,支架,云南,62.88%
2019年,乐普(北京)医疗器械股份有限公司,10667789,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×36mm,曲靖市第一人民医院,28,322800,124936,4462,11528.57,,197864,支架,云南,61.30%
2019年,乐普(北京)医疗器械股份有限公司,10667789,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×36mm,祥云县人民医院,6,68200,26772,4462,11366.67,,41428,支架,云南,60.74%
2019年,乐普(北京)医疗器械股份有限公司,10667789,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×36mm,云龙县人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667789,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×36mm,云南城投健康医药有限公司,7,69064,31234,4462,9866.29,,37830,支架,云南,54.78%
2019年,乐普(北京)医疗器械股份有限公司,10667790,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×15mm,德宏州人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667790,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×15mm,会泽县人民医院,2,22770,8924,4462,11385,,13846,支架,云南,60.81%
2019年,乐普(北京)医疗器械股份有限公司,10667790,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×15mm,昆明市延安医院,4,45600,17848,4462,11400,,27752,支架,云南,60.86%
2019年,乐普(北京)医疗器械股份有限公司,10667790,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×15mm,昆明医科大学第一附属医院,7,71524,31234,4462,10217.71,,40290,支架,云南,56.33%
2019年,乐普(北京)医疗器械股份有限公司,10667790,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×15mm,普洱市人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667790,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×15mm,曲靖市第二人民医院,2,22200,8924,4462,11100,,13276,支架,云南,59.80%
2019年,乐普(北京)医疗器械股份有限公司,10667791,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×12mm,德宏州人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667791,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×12mm,昆明市延安医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667791,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×12mm,昆明医科大学第二附属医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667791,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×12mm,昆明医科大学第一附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667791,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×12mm,普洱市人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667792,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×24mm,德宏州人民医院,5,57000,22310,4462,11400,,34690,支架,云南,60.86%
2019年,乐普(北京)医疗器械股份有限公司,10667792,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×24mm,昆明市延安医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667792,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×24mm,昆明医科大学第一附属医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2019年,乐普(北京)医疗器械股份有限公司,10667792,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×24mm,普洱市人民医院,5,57715.34,22310,4462,11543.07,,35405.34,支架,云南,61.34%
2019年,乐普(北京)医疗器械股份有限公司,10667792,血管内无载体含药(雷帕霉素)洗脱支架系统,2.5mm×24mm,曲靖市第二人民医院,1,11100,4462,4462,11100,,6638,支架,云南,59.80%
2019年,乐普(北京)医疗器械股份有限公司,10667793,血管内无载体含药(雷帕霉素)洗脱支架系统,4.0mm×24mm,德宏州人民医院,2,22500,8924,4462,11250,,13576,支架,云南,60.34%
